id,lv,type,cost_item1,cost_num1,cost_item2,cost_num2,min,max,crtchance,crtnum,encpoints
140,20,3,79000001,1,91000002,20,30,50,2650,100,100
141,21,3,79000001,1,91000002,20,30,50,2600,100,100
142,22,3,79000001,1,91000002,20,30,50,2550,100,100
143,23,3,79000001,1,91000002,20,30,50,2500,100,100
144,24,3,79000001,1,91000002,20,30,50,2450,100,100
145,25,3,79000001,1,91000002,20,30,50,2400,100,100
146,26,3,79000001,1,91000002,20,30,50,2350,100,100
147,27,3,79000001,1,91000002,20,30,50,2300,100,100
148,28,3,79000001,1,91000002,20,30,50,2250,100,100
149,29,3,79000001,1,91000002,20,30,50,2200,100,100
150,30,3,79000001,1,91000002,20,30,50,2150,100,100
151,31,3,79000001,1,91000002,20,30,50,2100,100,100
152,32,3,79000001,1,91000002,20,30,50,2050,100,100
153,33,3,79000001,1,91000002,20,30,50,2000,100,100
154,34,3,79000001,1,91000002,20,30,50,1950,100,100
155,35,3,79000001,1,91000002,20,30,50,1900,100,100
156,36,3,79000001,1,91000002,20,30,50,1850,100,100
157,37,3,79000001,1,91000002,20,30,50,1800,100,100
158,38,3,79000001,1,91000002,20,30,50,1750,100,100
159,39,3,79000001,1,91000002,20,30,50,1700,100,100
160,40,3,79000001,1,91000002,20,30,50,1650,100,100
161,41,3,79000001,1,91000002,20,30,50,1600,100,100
162,42,3,79000001,1,91000002,20,30,50,1550,100,100
163,43,3,79000001,1,91000002,20,30,50,1500,100,100
164,44,3,79000001,1,91000002,20,30,50,1450,100,100
165,45,3,79000001,1,91000002,20,30,50,1400,100,100
166,46,3,79000001,1,91000002,20,30,50,1350,100,100
167,47,3,79000001,1,91000002,20,30,50,1300,100,100
168,48,3,79000001,1,91000002,20,30,50,1250,100,100
169,49,3,79000001,1,91000002,20,30,50,1200,100,100
170,50,3,79000001,1,91000002,20,30,50,1150,100,100
171,51,3,79000001,1,91000002,20,30,50,1100,100,100
172,52,3,79000001,1,91000002,20,30,50,1050,100,100
173,53,3,79000001,1,91000002,20,30,50,1000,100,100
174,54,3,79000001,1,91000002,20,30,50,950,100,100
175,55,3,79000001,1,91000002,20,30,50,900,100,100
176,56,3,79000001,1,91000002,20,30,50,850,100,100
177,57,3,79000001,1,91000002,20,30,50,800,100,100
178,58,3,79000001,1,91000002,20,30,50,750,100,100
179,59,3,79000001,1,91000002,20,30,50,700,100,100
180,60,3,79000001,1,91000002,20,30,50,650,100,100
181,1,4,79000001,1,91000002,20,30,50,3600,100,100
182,2,4,79000001,1,91000002,20,30,50,3550,100,100
183,3,4,79000001,1,91000002,20,30,50,3500,100,100
184,4,4,79000001,1,91000002,20,30,50,3450,100,100
185,5,4,79000001,1,91000002,20,30,50,3400,100,100
186,6,4,79000001,1,91000002,20,30,50,3350,100,100
187,7,4,79000001,1,91000002,20,30,50,3300,100,100
188,8,4,79000001,1,91000002,20,30,50,3250,100,100
189,9,4,79000001,1,91000002,20,30,50,3200,100,100
190,10,4,79000001,1,91000002,20,30,50,3150,100,100
191,11,4,79000001,1,91000002,20,30,50,3100,100,100
192,12,4,79000001,1,91000002,20,30,50,3050,100,100
193,13,4,79000001,1,91000002,20,30,50,3000,100,100
194,14,4,79000001,1,91000002,20,30,50,2950,100,100
195,15,4,79000001,1,91000002,20,30,50,2900,100,100
196,16,4,79000001,1,91000002,20,30,50,2850,100,100
197,17,4,79000001,1,91000002,20,30,50,2800,100,100
198,18,4,79000001,1,91000002,20,30,50,2750,100,100
199,19,4,79000001,1,91000002,20,30,50,2700,100,100
200,20,4,79000001,1,91000002,20,30,50,2650,100,100
201,21,4,79000001,1,91000002,20,30,50,2600,100,100
202,22,4,79000001,1,91000002,20,30,50,2550,100,100
203,23,4,79000001,1,91000002,20,30,50,2500,100,100
204,24,4,79000001,1,91000002,20,30,50,2450,100,100
205,25,4,79000001,1,91000002,20,30,50,2400,100,100
206,26,4,79000001,1,91000002,20,30,50,2350,100,100
207,27,4,79000001,1,91000002,20,30,50,2300,100,100
208,28,4,79000001,1,91000002,20,30,50,2250,100,100
209,29,4,79000001,1,91000002,20,30,50,2200,100,100
210,30,4,79000001,1,91000002,20,30,50,2150,100,100
211,31,4,79000001,1,91000002,20,30,50,2100,100,100
212,32,4,79000001,1,91000002,20,30,50,2050,100,100
213,33,4,79000001,1,91000002,20,30,50,2000,100,100
214,34,4,79000001,1,91000002,20,30,50,1950,100,100
215,35,4,79000001,1,91000002,20,30,50,1900,100,100
216,36,4,79000001,1,91000002,20,30,50,1850,100,100
217,37,4,79000001,1,91000002,20,30,50,1800,100,100
218,38,4,79000001,1,91000002,20,30,50,1750,100,100
219,39,4,79000001,1,91000002,20,30,50,1700,100,100
220,40,4,79000001,1,91000002,20,30,50,1650,100,100
221,41,4,79000001,1,91000002,20,30,50,1600,100,100
222,42,4,79000001,1,91000002,20,30,50,1550,100,100
223,43,4,79000001,1,91000002,20,30,50,1500,100,100
224,44,4,79000001,1,91000002,20,30,50,1450,100,100
225,45,4,79000001,1,91000002,20,30,50,1400,100,100
226,46,4,79000001,1,91000002,20,30,50,1350,100,100
227,47,4,79000001,1,91000002,20,30,50,1300,100,100
228,48,4,79000001,1,91000002,20,30,50,1250,100,100
229,49,4,79000001,1,91000002,20,30,50,1200,100,100
230,50,4,79000001,1,91000002,20,30,50,1150,100,100
231,51,4,79000001,1,91000002,20,30,50,1100,100,100
232,52,4,79000001,1,91000002,20,30,50,1050,100,100
233,53,4,79000001,1,91000002,20,30,50,1000,100,100
234,54,4,79000001,1,91000002,20,30,50,950,100,100
235,55,4,79000001,1,91000002,20,30,50,900,100,100
236,56,4,79000001,1,91000002,20,30,50,850,100,100
237,57,4,79000001,1,91000002,20,30,50,800,100,100
238,58,4,79000001,1,91000002,20,30,50,750,100,100
239,59,4,79000001,1,91000002,20,30,50,700,100,100
240,60,4,79000001,1,91000002,20,30,50,650,100,100
